Time,Voltage
02-12 03:21,-0.0
02-12 03:31,-0.0
02-12 03:41,-0.0
02-12 03:51,-0.0
02-12 04:01,-0.0
02-12 04:11,0.0
02-12 04:21,-0.0
02-12 04:31,-0.0
02-12 04:41,-0.0
02-12 04:51,-0.0
02-12 05:01,0.0
02-12 05:11,0.0
02-12 05:21,-0.0
02-12 05:31,0.0
02-12 05:41,-0.0
02-12 05:51,0.0
02-12 06:01,-0.0
02-12 06:11,0.0
02-12 06:21,0.0
02-12 06:31,0.1
02-12 06:41,0.3
02-12 06:51,1.0
02-12 07:01,5.3
02-12 07:11,13.3
02-12 07:21,13.5
02-12 07:31,13.6
02-12 07:41,13.6
02-12 07:51,13.8
02-12 08:01,14.8
02-12 08:11,14.9
02-12 08:21,15.0
02-12 08:31,15.0
02-12 08:41,15.1
02-12 08:51,15.1
02-12 09:01,15.1
02-12 09:11,15.1
02-12 09:21,15.1
02-12 09:31,15.2
02-12 09:41,15.2
02-12 09:51,15.2
02-12 10:01,15.2
02-12 10:11,15.1
02-12 10:21,15.0
02-12 10:31,15.0
02-12 10:41,15.0
02-12 10:51,15.2
02-12 11:01,15.2
02-12 11:11,15.1
02-12 11:21,15.1
02-12 11:31,15.1
02-12 11:41,15.2
02-12 11:51,15.2
02-12 12:00,34.3
02-12 12:10,39.1
02-12 12:20,40.0
02-12 12:30,40.3
02-12 12:40,40.7
02-12 12:50,40.6
02-12 13:00,41.0
02-12 13:10,40.1
02-12 13:20,40.0
02-12 13:30,39.7
02-12 13:40,40.4
02-12 13:50,40.5
02-12 14:00,42.2
02-12 14:10,38.5
02-12 14:20,39.3
02-12 14:30,40.2
02-12 14:40,39.9
02-12 14:50,34.5
02-12 15:00,15.4
02-12 15:10,15.1
02-12 15:20,15.0
02-12 15:30,14.8
02-12 15:40,14.9
02-12 15:50,14.9
02-12 16:00,14.9
02-12 16:10,14.8
02-12 16:20,14.8
02-12 16:30,14.8
02-12 16:40,24.0
02-12 16:50,13.7
02-12 17:00,13.5
02-12 17:10,13.4
02-12 17:20,13.3
02-12 17:30,13.3
02-12 17:40,9.0
02-12 17:50,2.2
02-12 18:00,0.4
02-12 18:10,0.1
02-12 18:20,0.1
02-12 18:30,0.1
02-12 18:40,0.0
02-12 18:50,0.0
02-12 19:00,0.0
02-12 19:10,0.0
02-12 19:20,0.1
02-12 19:30,0.0
02-12 19:40,0.1
02-12 19:50,0.0
02-12 20:00,0.0
02-12 20:10,0.0
02-12 20:20,0.1
02-12 20:30,0.1
02-12 20:40,0.1
02-12 20:50,0.0
02-12 21:00,0.1
02-12 21:10,0.0
02-12 21:20,0.0
02-12 21:30,-0.0
02-12 21:40,0.0
02-12 21:50,0.0
02-12 22:00,0.0
02-12 22:10,0.0
02-12 22:20,0.0
02-12 22:30,0.0
02-12 22:40,-0.0
02-12 22:50,0.0
02-12 23:00,0.0
02-12 23:10,-0.0
02-12 23:20,-0.0
02-12 23:30,-0.0
02-12 23:40,-0.0
02-12 23:50,0.0
02-13 00:00,-0.0
02-13 00:10,0.0
02-13 00:20,0.0
02-13 00:30,0.0
02-13 00:40,-0.0
02-13 00:50,0.0
02-13 01:00,0.0
02-13 01:10,-0.0
02-13 01:20,-0.0
02-13 01:30,-0.0
02-13 01:40,-0.0
02-13 01:50,-0.0
02-13 02:00,-0.0
02-13 02:10,0.0
02-13 02:20,-0.0
02-13 02:30,-0.0
02-13 02:40,-0.0
02-13 02:50,-0.0
02-13 03:01,-0.0
02-13 03:11,-0.0
02-13 03:21,-0.0
02-13 03:31,0.0
02-13 03:41,-0.0
02-13 03:51,-0.0
02-13 04:01,-0.0
02-13 04:11,0.0
02-13 04:21,-0.0
02-13 04:31,0.0
02-13 04:41,0.0
02-13 04:51,-0.0
02-13 05:01,-0.0
02-13 05:11,0.0
02-13 05:21,-0.0
02-13 05:31,0.0
02-13 05:41,0.0
02-13 05:51,-0.0
02-13 06:01,0.0
02-13 06:11,-0.0
02-13 06:21,0.0
02-13 06:31,0.1
02-13 06:41,0.5
02-13 06:51,1.9
02-13 07:01,8.5
02-13 07:11,13.4
02-13 07:21,13.4
02-13 07:31,13.5
02-13 07:41,13.6
02-13 07:51,14.8
02-13 08:01,14.9
02-13 08:11,15.0
02-13 08:21,15.0
02-13 08:31,15.1
02-13 08:41,15.1
02-13 08:51,15.2
02-13 09:01,15.1
02-13 09:11,15.2
02-13 09:21,15.3
02-13 09:31,15.3
02-13 09:41,15.2
02-13 09:51,39.0
02-13 10:01,15.5
02-13 10:11,40.4
02-13 10:21,40.3
02-13 10:31,41.2
02-13 10:41,42.7
02-13 10:51,42.5
02-13 11:01,39.9
02-13 11:11,42.5
02-13 11:21,42.3
02-13 11:31,42.3
02-13 11:41,41.2
02-13 11:51,42.3
02-13 12:00,42.1
02-13 12:10,42.2
02-13 12:20,42.1
02-13 12:30,42.0
02-13 12:40,41.9
02-13 12:50,41.9
02-13 13:00,41.9
02-13 13:10,41.8
02-13 13:20,41.8
02-13 13:30,41.9
02-13 13:40,41.9
02-13 13:50,41.9
02-13 14:00,41.9
02-13 14:10,41.8
02-13 14:20,41.6
02-13 14:30,41.7
02-13 14:40,41.7
02-13 14:50,41.5
02-13 15:00,40.5
02-13 15:10,15.0
02-13 15:20,14.8
02-13 15:30,14.8
02-13 15:40,14.8
02-13 15:50,14.9
02-13 16:00,14.9
02-13 16:10,14.8
02-13 16:20,14.8
02-13 16:30,14.8
02-13 16:40,14.8
02-13 16:50,14.8
02-13 17:00,14.7
02-13 17:10,13.6
02-13 17:20,13.5
02-13 17:30,13.4
02-13 17:40,13.3
02-13 17:50,4.0
02-13 18:00,0.8
02-13 18:10,0.2
02-13 18:20,0.0
02-13 18:30,-0.0
02-13 18:40,0.0
02-13 18:50,-0.0
02-13 19:00,-0.0
02-13 19:10,0.0
02-13 19:20,0.0
02-13 19:30,-0.0
