Time, Leisure, Van
02-07 21:00,13.3,13.3
02-07 21:10,13.3,13.3
02-07 21:20,13.3,13.3
02-07 21:30,13.3,13.3
02-07 21:40,13.3,13.3
02-07 21:50,13.4,13.3
02-07 22:00,13.3,13.3
02-07 22:10,13.3,13.3
02-07 22:20,13.3,13.3
02-07 22:30,13.3,13.3
02-07 22:40,13.3,13.3
02-07 22:50,13.4,13.3
02-07 23:00,13.4,13.3
02-07 23:10,13.3,13.3
02-07 23:20,13.4,13.3
02-07 23:30,13.4,13.3
02-07 23:40,13.4,13.3
02-07 23:50,13.3,13.3
02-08 00:00,13.3,13.3
02-08 00:10,13.3,13.3
02-08 00:20,13.4,13.3
02-08 00:30,13.3,13.3
02-08 00:40,13.4,13.3
02-08 00:50,13.3,13.3
02-08 01:00,13.4,13.3
02-08 01:10,13.4,13.3
02-08 01:20,13.3,13.3
02-08 01:30,13.3,13.3
02-08 01:40,13.4,13.3
02-08 01:50,13.4,13.3
02-08 02:00,13.4,13.3
02-08 02:11,13.3,13.3
02-08 02:21,13.4,13.3
02-08 02:31,13.3,13.3
02-08 02:41,13.4,13.3
02-08 02:51,13.3,13.3
02-08 03:01,13.4,13.3
02-08 03:11,13.3,13.2
02-08 03:21,13.3,13.3
02-08 03:31,13.4,13.3
02-08 03:41,13.4,13.3
02-08 03:51,13.4,13.3
02-08 04:01,13.3,13.3
02-08 04:11,13.4,13.3
02-08 04:21,13.4,13.3
02-08 04:31,13.4,13.3
02-08 04:41,13.4,13.3
02-08 04:51,13.4,13.3
02-08 05:01,13.4,13.3
02-08 05:11,13.3,13.3
02-08 05:21,13.3,13.3
02-08 05:31,13.4,13.3
02-08 05:41,13.3,13.3
02-08 05:51,13.3,13.3
02-08 06:01,13.4,13.3
02-08 06:11,13.3,13.3
02-08 06:21,13.3,13.3
02-08 06:31,13.4,13.3
02-08 06:41,13.3,13.3
02-08 06:51,13.3,13.3
02-08 07:01,13.3,13.3
02-08 07:11,13.4,13.3
02-08 07:21,13.3,13.3
02-08 07:31,13.3,13.3
02-08 07:41,13.4,13.3
02-08 07:51,13.4,13.3
02-08 08:01,13.3,13.3
02-08 08:11,13.4,13.3
02-08 08:21,13.4,13.3
02-08 08:31,13.4,13.3
02-08 08:41,13.4,13.4
02-08 08:51,13.5,13.4
02-08 09:01,13.5,13.5
02-08 09:11,13.3,13.3
02-08 09:21,13.3,13.3
02-08 09:31,13.5,13.4
02-08 09:41,13.7,13.7
02-08 09:51,14.7,14.7
02-08 10:01,14.7,14.7
02-08 10:11,14.7,14.7
02-08 10:21,14.7,14.6
02-08 10:31,14.7,14.6
02-08 10:41,14.5,14.4
02-08 10:51,14.6,14.6
02-08 11:01,14.5,14.5
02-08 11:11,14.5,14.5
02-08 11:21,14.5,14.4
02-08 11:31,14.5,14.4
02-08 11:41,14.4,14.4
02-08 11:51,14.0,14.0
02-08 12:00,13.8,13.8
02-08 12:10,13.8,13.7
02-08 12:20,13.8,13.7
02-08 12:30,13.8,13.8
02-08 12:40,13.7,13.7
02-08 12:50,13.8,13.7
02-08 13:00,13.7,13.7
02-08 13:10,13.7,13.7
02-08 13:20,13.7,13.7
02-08 13:30,13.7,13.7
02-08 13:40,13.7,13.7
02-08 13:50,13.7,13.7
02-08 14:00,13.8,13.7
02-08 14:10,13.7,13.6
02-08 14:20,13.7,13.7
02-08 14:30,13.7,13.7
02-08 14:40,13.8,13.8
02-08 14:50,13.8,13.8
02-08 15:00,13.8,13.7
02-08 15:10,13.5,13.4
02-08 15:20,13.2,13.2
02-08 15:30,13.3,13.3
02-08 15:40,13.2,13.2
02-08 15:50,13.3,13.2
02-08 16:00,13.3,13.2
02-08 16:10,13.2,13.2
02-08 16:20,13.4,13.3
02-08 16:30,13.3,13.2
02-08 16:40,13.3,13.2
02-08 16:50,13.3,13.2
02-08 17:00,13.2,13.2
02-08 17:10,13.3,13.3
02-08 17:20,13.2,13.2
02-08 17:30,13.3,13.3
02-08 17:40,13.2,13.2
02-08 17:50,13.3,13.2
02-08 18:00,13.3,13.3
02-08 18:10,13.3,13.3
02-08 18:20,13.3,13.3
02-08 18:30,13.3,13.3
02-08 18:40,13.3,13.3
02-08 18:50,13.4,13.3
02-08 19:00,13.3,13.3
02-08 19:10,13.3,13.3
02-08 19:20,13.3,13.2
02-08 19:30,13.4,13.3
02-08 19:40,13.3,13.3
02-08 19:50,13.3,13.3
02-08 20:00,13.3,13.3
02-08 20:10,13.3,13.3
02-08 20:20,13.3,13.3
02-08 20:30,13.3,13.3
02-08 20:40,13.3,13.3
02-08 20:50,13.3,13.3
02-08 21:00,13.4,13.3
02-08 21:10,13.3,13.3
02-08 21:20,13.4,13.3
02-08 21:30,13.3,13.3
02-08 21:40,13.4,13.3
02-08 21:50,13.3,13.3
02-08 22:00,13.3,13.3
02-08 22:10,13.3,13.3
02-08 22:20,13.4,13.3
02-08 22:30,13.3,13.3
02-08 22:40,13.3,13.3
02-08 22:50,13.4,13.3
02-08 23:00,13.3,13.3
02-08 23:10,13.4,13.3
02-08 23:20,13.4,13.3
02-08 23:30,13.4,13.3
02-08 23:40,13.3,13.3
02-08 23:50,13.4,13.3
02-09 00:00,13.4,13.3
02-09 00:10,13.3,13.3
02-09 00:20,13.4,13.3
02-09 00:30,13.3,13.3
02-09 00:40,13.3,13.3
02-09 00:50,13.3,13.3
02-09 01:00,13.3,13.3
02-09 01:10,13.3,13.3
02-09 01:20,13.3,13.3
02-09 01:30,13.4,13.3
02-09 01:40,13.4,13.3
02-09 01:50,13.3,13.2
02-09 02:00,13.3,13.3
02-09 02:10,13.4,13.3
02-09 02:21,13.3,13.3
02-09 02:31,13.3,13.3
02-09 02:41,13.4,13.3
02-09 02:51,13.3,13.3
02-09 03:01,13.4,13.3
02-09 03:11,13.4,13.3
02-09 03:21,13.3,13.3
02-09 03:31,13.3,13.3
02-09 03:41,13.4,13.3
02-09 03:51,13.3,13.3
02-09 04:01,13.3,13.3
02-09 04:11,13.3,13.3
02-09 04:21,13.4,13.3
02-09 04:31,13.4,13.3
02-09 04:41,13.3,13.3
02-09 04:51,13.4,13.3
02-09 05:01,13.4,13.3
02-09 05:11,13.4,13.3
02-09 05:21,13.3,13.3
02-09 05:31,13.4,13.3
02-09 05:41,13.3,13.3
02-09 05:51,13.4,13.3
