Time, Temp C, Humidity %
02-09 13:20,18,22
02-09 13:30,18,19
02-09 13:40,21,23
02-09 13:50,20,24
02-09 14:00,20,21
02-09 14:10,21,23
02-09 14:20,22,24
02-09 14:30,22,23
02-09 14:40,23,24
02-09 14:50,23,23
02-09 15:00,24,22
02-09 15:10,23,22
02-09 15:20,22,22
02-09 15:30,21,20
02-09 15:40,19,21
02-09 15:50,20,22
02-09 16:00,19,21
02-09 16:10,19,21
02-09 16:20,16,22
02-09 16:30,19,22
02-09 16:40,17,22
02-09 16:50,18,22
02-09 17:00,17,22
02-09 17:10,15,22
02-09 17:20,18,21
02-09 17:30,15,21
02-09 17:40,16,22
02-09 17:50,15,21
02-09 18:00,15,21
02-09 18:10,14,21
02-09 18:20,13,19
02-09 18:30,12,21
02-09 18:40,13,21
02-09 18:50,12,21
02-09 19:00,12,21
02-09 19:10,13,19
02-09 19:20,12,22
02-09 19:30,9,20
02-09 19:40,10,20
02-09 19:50,9,21
02-09 20:00,10,21
02-09 20:10,9,22
02-09 20:20,11,22
02-09 20:30,10,22
02-09 20:40,9,20
02-09 20:50,8,22
02-09 21:00,10,22
02-09 21:10,9,22
02-09 21:20,8,22
02-09 21:30,7,24
02-09 21:40,7,22
02-09 21:50,6,22
02-09 22:00,8,23
02-09 22:10,7,22
02-09 22:20,7,22
02-09 22:30,6,22
02-09 22:40,6,22
02-09 22:50,7,22
02-09 23:00,7,22
02-09 23:10,5,19
02-09 23:20,5,22
02-09 23:30,5,22
02-09 23:40,6,22
02-09 23:50,3,21
02-10 00:00,4,24
02-10 00:10,4,24
02-10 00:20,4,22
02-10 00:30,3,22
02-10 00:40,2,22
02-10 00:50,2,23
02-10 01:00,3,22
02-10 01:10,3,21
02-10 01:20,2,22
02-10 01:30,3,24
02-10 01:40,2,21
02-10 01:50,2,22
02-10 02:00,1,22
02-10 02:10,0,23
02-10 02:20,2,21
02-10 02:31,2,23
02-10 02:41,1,22
02-10 02:51,1,23
02-10 03:01,0,22
02-10 03:11,0,24
02-10 03:21,0,23
02-10 03:31,0,20
02-10 03:41,0,24
02-10 03:51,0,23
02-10 04:01,2,23
02-10 04:11,2,22
02-10 04:21,2,23
02-10 04:31,1,22
02-10 04:41,1,22
02-10 04:51,0,22
02-10 05:01,0,22
02-10 05:11,0,23
02-10 05:21,0,22
02-10 05:31,1,22
02-10 05:41,0,22
02-10 05:51,1,22
02-10 06:01,0,22
02-10 06:11,0,24
02-10 06:21,0,22
02-10 06:31,0,23
02-10 06:41,0,22
02-10 06:51,0,22
02-10 07:01,-1,21
02-10 07:11,0,22
02-10 07:21,-1,23
02-10 07:31,0,22
02-10 07:41,-1,22
02-10 07:51,-1,22
02-10 08:01,-1,22
02-10 08:11,-1,22
02-10 08:21,-1,22
02-10 08:31,-1,23
02-10 08:41,0,23
02-10 08:51,0,24
02-10 09:01,1,25
02-10 09:11,2,24
02-10 09:21,2,23
02-10 09:31,0,23
02-10 09:41,3,24
02-10 09:51,1,25
02-10 10:01,2,24
02-10 10:11,3,25
02-10 10:21,3,25
02-10 10:31,1,25
02-10 10:41,3,26
02-10 10:51,5,26
02-10 11:01,5,26
02-10 11:11,7,27
02-10 11:21,6,27
02-10 11:31,8,27
02-10 11:41,7,27
02-10 11:51,8,27
02-10 12:00,8,28
02-10 12:10,12,25
02-10 12:20,9,25
02-10 12:30,11,24
02-11 12:00,11,30
02-11 12:10,12,28
02-11 12:20,12,27
02-11 12:30,12,28
02-11 12:40,13,28
02-11 12:50,12,27
02-11 13:00,12,28
02-11 13:10,12,27
02-11 13:20,14,27
02-11 13:30,12,27
02-11 13:40,14,27
02-11 13:50,13,27
02-11 14:00,13,28
02-11 14:10,14,29
02-11 14:20,13,27
02-11 14:30,13,27
02-11 14:40,14,27
02-11 14:50,14,28
02-11 15:00,14,27
02-11 15:10,14,27
02-11 15:20,14,27
02-11 15:30,14,26
02-11 15:40,13,27
02-11 15:50,15,26
02-11 16:00,15,27
02-11 16:10,14,26
02-11 16:20,12,26
02-11 16:30,14,26
02-11 16:40,13,28
02-11 16:50,13,26
02-11 17:00,12,26
02-11 17:10,12,26
02-11 17:20,14,26
02-11 17:30,13,27
02-11 17:40,13,26
02-11 17:50,11,26
02-11 18:00,13,25
02-11 18:10,12,26
02-11 18:20,12,26
02-11 18:30,12,26
02-11 18:40,11,26
02-11 18:50,11,26
02-11 19:00,11,26
02-11 19:10,11,27
02-11 19:20,11,26
02-11 19:30,10,26
02-11 19:40,10,25
02-11 19:50,10,27
02-11 20:00,11,26
02-11 20:10,11,26
02-11 20:20,11,26
02-11 20:30,11,26
02-11 20:40,11,26
02-11 20:50,11,26
02-11 21:00,11,26
02-11 21:10,10,26
02-11 21:20,10,24
02-11 21:30,10,26
02-11 21:40,10,26
02-11 21:50,9,26
02-11 22:00,9,26
02-11 22:10,10,26
02-11 22:20,9,26
02-11 22:30,9,27
02-11 22:40,11,23
02-11 22:50,11,26
02-11 23:00,11,26
02-11 23:10,10,26
02-11 23:20,8,26
02-11 23:30,8,26
02-11 23:40,10,26
02-11 23:50,10,26
02-12 00:00,8,26
02-12 00:10,9,25
02-12 00:20,10,26
02-12 00:30,9,26
02-12 00:40,9,24
02-12 00:50,9,26
02-12 01:00,9,26
02-12 01:10,9,28
