Time,Air Quality
02-08 03:11,-65.0
02-08 03:21,-66.0
02-08 03:31,-69.0
02-08 03:41,-67.0
02-08 03:51,-64.0
02-08 04:01,-66.0
02-08 04:11,-68.0
02-08 04:21,-69.0
02-08 04:31,-71.0
02-08 04:41,-71.0
02-08 04:51,-73.0
02-08 05:01,-75.0
02-08 05:11,-78.0
02-08 05:21,-81.0
02-08 05:31,-81.0
02-08 05:41,-83.0
02-08 05:51,-84.0
02-08 06:01,-86.0
02-08 06:11,-88.0
02-08 06:21,-87.0
02-08 06:31,-87.0
02-08 06:41,-86.0
02-08 06:51,-87.0
02-08 07:01,-91.0
02-08 07:11,-90.0
02-08 07:21,-90.0
02-08 07:31,-89.0
02-08 07:41,-89.0
02-08 07:51,-87.0
02-08 08:01,-89.0
02-08 08:11,-91.0
02-08 08:21,-93.0
02-08 08:31,-92.0
02-08 08:41,-92.0
02-08 08:51,-87.0
02-08 09:01,-87.0
02-08 09:11,-86.0
02-08 09:21,-85.0
02-08 09:31,-78.0
02-08 09:41,-73.0
02-08 09:51,-69.0
02-08 10:01,-62.0
02-08 10:11,-56.0
02-08 10:21,-52.0
02-08 10:31,-49.0
02-08 10:41,-48.0
02-08 10:51,-47.0
02-08 11:01,-46.0
02-08 11:11,-41.0
02-08 11:21,-36.0
02-08 11:31,-30.0
02-08 11:41,-18.0
02-08 11:51,-8.0
02-08 12:00,10.0
02-08 12:10,15.0
02-08 12:20,19.0
02-08 12:30,25.0
02-08 12:40,29.0
02-08 12:50,34.0
02-08 13:00,29.0
02-08 13:10,33.0
02-08 13:20,34.0
02-08 13:30,38.0
02-08 13:40,45.0
02-08 13:50,50.0
02-08 14:00,59.0
02-08 14:10,64.0
02-08 14:20,59.0
02-08 14:30,48.0
02-08 14:40,48.0
02-08 14:50,50.0
02-08 15:00,52.0
02-08 15:10,44.0
02-08 15:20,43.0
02-08 15:30,42.0
02-08 15:40,37.0
02-08 15:50,27.0
02-08 16:00,25.0
02-08 16:10,21.0
02-08 16:20,16.0
02-08 16:30,16.0
02-08 16:40,18.0
02-08 16:50,14.0
02-08 17:00,7.0
02-08 17:10,-2.0
02-08 17:20,-9.0
02-08 17:30,-14.0
02-08 17:40,-18.0
02-08 17:50,-22.0
02-08 18:00,-29.0
02-08 18:10,-34.0
02-08 18:20,-39.0
02-08 18:30,-41.0
02-08 18:40,-44.0
02-08 18:50,-45.0
02-08 19:00,-44.0
02-08 19:10,-42.0
02-08 19:20,-44.0
